	xs
0	"알티해달라고
난 막 새로만들어서 트친소찾아다니는 계정말고 탐넘겹친이랑 트친을하고싶다고"
1	"알티해달라고
난 막 새로만들어서 트친소찾아다니는 계정말고 탐넘겹친이랑 트친을하고싶다고"
2	"알티해달라고
난 막 새로만들어서 트친소찾아다니는 계정말고 탐넘겹친이랑 트친을하고싶다고"
3	"알티해달라고
난 막 새로만들어서 트친소찾아다니는 계정말고 탐넘겹친이랑 트친을하고싶다고"
4	
5	
6	"내가매번말하지
글자모양으로 장난하거나 단어반복난해시쓸거면
그거쓰기전에 멀쩡한내용의시부터쓸줄알아야된다고"
7	"#겹친소 #문학_트친소 #문탐_트친소 #문학계_트친소 #독서계_트친소
하지은작가님책이랑 그외 문탐메이저도서(날개 종의기원 위저베 등)랑 동과거 팝니다
최애캐는 고요 나르치스 기타등등
수학은 특히 자연수좋아합니다
취미로 글도쓰고 자캐놀이도해요
장기팔이소녀와 트친해주세요
+양자역학 안믿음"
8	선배쨩
9	항상 러프올리면 맘찍이겁나많이달리는데 완성작올리면 아무도관심을안줌
10	"다그림
목돌아가잇어요 주의"
11	"오류 오점 오차 이런단어들 너무좋은느낌을줌
심장이떨려"
12	"@shibuyachild
 님에게 보내는 답글"
13	러시아문학이렇게시작함
14	"#네글자로_된_가슴뛰는_말을_해보자
두근두근"
15	날자꾸나
16	
17	이거 포타에 삽입할까??
18	"신부복……….한유진
님들이그려달라고한겁니다"
19	테디베어애들은 뭔가 내가생각하는 최고로 이상적인 사랑의 관계를 나타내기 위해 만든애들인데 ㅈㄴ 그뭔씹임
20	
21	"글쓸거임
간만에 고어글을"
22	그러니까 이거 아직안읽으신분들은 읽어주시면감사
23	"너무슬퍼요ㅠ 보다가울엇음
그리고 개커여운로봇이나옴
님들이거읽어"
24	읽타
25	사람 시체로 물건 만드는게 실존한다니
26	순애잖냐
27	백성수
28	점장소년어때요
29	동과거유료분 결제해서보고싶은데 지금 그거살정도의 돈도 없는상태임
30	"교양있는 ㅈ간지 갓생 독서가 (x)
오타쿠 (o)"
31	"좀아포물 볼때마다 생각하는건데
좀비가 그냥생긴게 아닐거아냐
정부에서 비밀리에 실험한게 퍼졌다거나 아무튼 그 시작점이 있을거아냐
좀비사태의 근원지의 이야기를 다룬 작품을 보고싶음
어쩌다가 좀비라는게 만들어졌는지와 그게 퍼지고 나서 그 근원지에 있던 사람들은 어떻게 대처하는지 이런거"
32	"데미안과 싱클레어의 청춘이야기
#데미안 #싱클레어"
33	
34	
35	8. 잘모르겟어요 세기힘들정도로많음
36	
37	이소호작가님 트위터도하셧어?!
38	바옐레안
39	
40	나르치스덮치고싶다
41	"수련회가는데 전자기기뺏는대서 책들고갈거임
제가드디어 경탐이를읽어보겟습니다"
42	"주인님 자x 주세요..

뭘 달라고?

자유 씨발"
43	모두가피피티를쓸때 나혼자한쇼를고집하다
44	#이생규장전 근본헤테로
45	"애인 사귀는 족족 죽이고 곡뽑아내던 미친살인마음악가가
곡을 포기하면서까지 안 죽이고 곁에 살려두고싶다고생각하게되는 그런 사람을 만나버려서 혼란스러워하는걸 보고싶다"
46	하 이게뭐죠ㅠ
47	
48	"지금할것
물리수행준비
기하 보고서쓰기
적분 피피티만들기
이 모든 걸 한시간 안에 끝내보도록 하죠"
49	"내가 감성존잘글계분이나 힐링독서계분의 트친소에 맘찍을해도되는걸가
그저 추잡한오타쿠일뿐인내가"
50	"솔직히 나르골드읽어본사람은 알아 골드문트가 데미안포지션이라는걸
맨마지막페이지까지 읽으면 알게됨"
51	"양산형 소설? 읽을 수 있다고 생각함… 가끔 그런 류의 소설이 필요할 때가 있음

근데
난 그게 인생작임<
그 책 추천함<
제일 좋아하는 책임<
발언하는 순간 세상이좆같아짐"
52	"난 성인미자문학 좋은디
이맛에 문학하지ㅋ켘"
53	"#트친이_준_문장으로_글쓰기
글을써야함"
54	나르치스 5살때 어머니. 저는수도원교사가되고싶습니다. 햇을거같아요
55	"난 레아킨이 그렇게 가버린건 너무슬펏지만
한편으론 비오티랑 칼이 이어진게 너무너무너무좋앗다고
칼이 비오티한테 난 너의 주역이 될수없다는걸 안다 이런말햇을때 서브병도져서나진짜 마음찢어지는줄"
56	"@lie15153865
 님에게 보내는 답글"
57	뭔가왜곡됏지만암튼이거임
58	거울같은 작품도 바깥과 단절된 내면의 자아 현대인의 뭐ㅜ이런 해석이 있지만 그런 상징 말고 그냥 화자가 전신거울눈앞에두고 장난하고 온갖생각하는거로 해석하는게 좋단말임
59	저랑 녹슨달얘기해주실분
60	
61	
62	"파도조르디 존나애새끼같음
근데 아주가끔 신같음
아니 역시애새끼임"
63	?- 녹슨달
64	물음표를 느낌표로 바꿔써주고싶다
65	"애인 사귀는 족족 죽이고 곡뽑아내던 미친살인마음악가가
곡을 포기하면서까지 안 죽이고 곁에 살려두고싶다고생각하게되는 그런 사람을 만나버려서 혼란스러워하는걸 보고싶다"
66	
67	"쌤은 가깝고소중한사람이니까 ㅈㄴ레전드곡이나올걸 기대햇는데
죽여보니까 생각보다 별게 아니고 눈앞의사람은 너무 간단히 죽어있고 그냥 아무 실감이 안 나서 이게 뭐지...?하는게 보고싶다고"
68	작가님그냥 호반위황금새랑 얼굴없는남자도 책으로 내주시면 안될가요 이김에 칼라이조랑 로즈웰이 쓴 소설도 써주세요 아그리고 바벨포론씨가 쓴 아나토제바옐 전기도
